,x,y
340,399.125,254.25
341,400.75,273.75
342,405.625,291.625
343,421.875,277
344,434.875,244.5
345,410.5,213.625
346,399.125,208.75
347,384.5,199
348,371.5,186
349,348.75,153.5
350,327.625,150.25
351,353.625,199
352,373.125,239.625
353,111.5,46.25
354,85.5,41.375
355,57.875,41.375
356,46.5,41.375
357,62.75,46.25
358,72.5,46.25
359,74.125,43
360,74.125,41.375
361,74.125,39.75
362,72.5,36.5
363,131,10.5
364,98.5,28.375
365,70.875,33.25
366,49.75,33.25
367,54.625,33.25
368,70.875,43
369,69.25,30
370,82.25,25.125
371,70.875,36.5
372,77.375,39.75
373,82.25,49.5
374,64.375,39.75
375,87.125,34.875
376,118,31.625
377,127.75,30
378,144,30
379,114.75,39.75
380,116.375,41.375
381,96.875,41.375
382,77.375,36.5
